tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
5741	Giardia intestinalis	5699035	0	live	GL50803_007875	GL50803_007875, GL50803_7875	putative Parkin-co-regulated protein	putative Parkin-co-regulated protein		4	NC_051859.1	1522430	1523146	plus	1		
5741	Giardia intestinalis	5697748	0	live	GL50803_005638	GL50803_005638, GL50803_5638	Cyst wall protein 1	Cyst wall protein 1		4	NC_051859.1	2357804	2358529	minus	1		
5741	Giardia intestinalis	5699174	0	live	GL50803_0027735	GL50803_0027735, GL50803_27735	Mre11	Mre11		3	NC_051858.1	486973	489426	minus	1		
5741	Giardia intestinalis	5703004	0	live	GL50803_00113797	GL50803_00113797, GL50803_113797	VSP with INR	VSP with INR		3	NC_051858.1	1213875	1216016	minus	1		
5741	Giardia intestinalis	5699878	0	live	GL50803_00101074	GL50803_00101074, GL50803_101074	VSP with INR	VSP with INR		3	NC_051858.1	87315	89534	plus	1		
5741	Giardia intestinalis	5697633	0	live	GL50803_008722	GL50803_008722, GL50803_8722	Myb 1-like protein	Myb 1-like protein		5	NC_051860.1	2533999	2535591	minus	1		
5741	Giardia intestinalis	5702676	0	live	GL50803_00112846	GL50803_00112846, GL50803_112846	Kinesin-3	Kinesin-3		4	NC_051859.1	1034188	1037475	minus	1		
5741	Giardia intestinalis	5701774	0	live	GL50803_009115	GL50803_009115, GL50803_9115	Glucose-6-phosphate isomerase	Glucose-6-phosphate isomerase		5	NC_051860.1	2355768	2357522	minus	1		
5741	Giardia intestinalis	5700926	0	live	GL50803_005358	GL50803_005358, GL50803_5358	Aurora kinase	Aurora kinase		5	NC_051860.1	2075521	2076456	plus	1		
5741	Giardia intestinalis	5700025	0	live	GL50803_003331	GL50803_003331, GL50803_3331	malate dehydrogenase	malate dehydrogenase		2	NC_051857.1	782110	783105	plus	1		
5741	Giardia intestinalis	5699853	0	live	GL50803_007796	GL50803_007796, GL50803_7796	Alpha-2 giardin	Alpha-2 giardin		3	NC_051858.1	122297	123187	plus	1		
5741	Giardia intestinalis	5699516	0	live	GL50803_0091919	GL50803_0091919, GL50803_91919	TCP-1 chaperonin subunit alpha	TCP-1 chaperonin subunit alpha		4	NC_051859.1	1279906	1281558	plus	1		
5741	Giardia intestinalis	5696925	0	live	GL50803_008035	GL50803_008035, GL50803_8035	Ribosome biogenesis protein ERB1	Ribosome biogenesis protein ERB1		5	NC_051860.1	363182	365449	plus	1		
5741	Giardia intestinalis	5701906	0	live	GL50803_0014259	GL50803_0014259, GL50803_14259	Glucose 6-phosphate N-acetyltransferase	Glucose 6-phosphate N-acetyltransferase		5	NC_051860.1	2132956	2133573	plus	1		
5741	Giardia intestinalis	5701443	0	live	GL50803_0010530	GL50803_0010530, GL50803_10530	Vacuolar ATP synthase 16 kDa proteolipid subunit	Vacuolar ATP synthase 16 kDa proteolipid subunit		5	NC_051860.1	3851117	3851650	minus	1		
5741	Giardia intestinalis	5699628	0	live	GL50803_008826	GL50803_008826, GL50803_8826	Glucokinase	Glucokinase		5	NC_051860.1	1094732	1095763	plus	1		
5741	Giardia intestinalis	5697510	0	live	GL50803_002933	GL50803_002933, GL50803_2933	Programmed cell death protein-like protein	Programmed cell death protein-like protein		2	NC_051857.1	1322465	1323007	plus	1		
5741	Giardia intestinalis	5699204	0	live	GL50803_004039	GL50803_004039, GL50803_4039	Leucine-rich repeat protein	Leucine-rich repeat protein		3	NC_051858.1	569318	571405	plus	1		
5741	Giardia intestinalis	5698952	0	live	GL50803_005867	GL50803_005867, GL50803_5867	Cysteinyl-tRNA synthetase	Cysteinyl-tRNA synthetase		4	NC_051859.1	1415625	1417562	minus	1		
5741	Giardia intestinalis	5703194	0	live	GL50803_007272	GL50803_007272, GL50803_7272	GARP-like protein 1	GARP-like protein 1		3	NC_051858.1	1525311	1526009	minus	1		
5741	Giardia intestinalis	5701965	0	live	GL50803_0014670	GL50803_0014670, GL50803_14670	Protein disulfide isomerase PDI3	Protein disulfide isomerase PDI3		1	NC_051856.1	1410604	1410954	minus	1		
5741	Giardia intestinalis	5701378	0	live	GL50803_00114787	GL50803_00114787, GL50803_114787	Alpha-7.3 giardin	Alpha-7.3 giardin		5	NC_051860.1	3975261	3976148	minus	1		
5741	Giardia intestinalis	5700689	0	live	GL50803_009413	GL50803_009413, GL50803_9413	Protein disulfide isomerase PDI2	Protein disulfide isomerase PDI2		4	NC_051859.1	1908708	1910057	plus	1		
5741	Giardia intestinalis	5700156	0	live	GL50803_0021942	GL50803_0021942, GL50803_21942	NADP-specific glutamate dehydrogenase	NADP-specific glutamate dehydrogenase		4	NC_051859.1	171461	172810	minus	1		
5741	Giardia intestinalis	5699121	0	live	GL50803_0017395	GL50803_0017395, GL50803_17395	Ribosomal protein L5	Ribosomal protein L5		2	NC_051857.1	816867	817760	plus	1		
5741	Giardia intestinalis	5699038	0	live	GL50803_007878	GL50803_007878, GL50803_7878	Ribosomal protein S14	Ribosomal protein S14		4	NC_051859.1	1525261	1525698	plus	1		
5741	Giardia intestinalis	5698513	0	live	GL50803_0015228	GL50803_0015228, GL50803_15228	Ribosomal protein S15A	Ribosomal protein S15A		4	NC_051859.1	2186824	2187216	minus	1		
5741	Giardia intestinalis	5698276	0	live	GL50803_004812	GL50803_004812, GL50803_4812	Beta-giardin	Beta-giardin		4	NC_051859.1	2036631	2037449	plus	1		
5741	Giardia intestinalis	5697843	0	live	GL50803_00113656	GL50803_00113656, GL50803_113656	Cysteine protease	Cysteine protease		3	NC_051858.1	732246	734156	minus	1		
5741	Giardia intestinalis	5697104	0	live	GL50803_0016086	GL50803_0016086, GL50803_16086	Ribosomal protein L8	Ribosomal protein L8		5	NC_051860.1	973233	973988	plus	1		
5741	Giardia intestinalis	5701955	0	live	GL50803_0033232	GL50803_0033232, GL50803_33232	GARP-like protein 4	GARP-like protein 4		1	NC_051856.1	1418545	1419288	plus	1		
5741	Giardia intestinalis	5701749	0	live	GL50803_0011684	GL50803_0011684, GL50803_11684	Leucine-rich repeat protein	Leucine-rich repeat protein		5	NC_051860.1	2403505	2405961	plus	1		
5741	Giardia intestinalis	5700241	0	live	GL50803_009779	GL50803_009779, GL50803_9779	Uridine phosphorylase 1	Uridine phosphorylase 1		4	NC_051859.1	22663	23595	plus	1		
5741	Giardia intestinalis	5699731	0	live	GL50803_0017198	GL50803_0017198, GL50803_17198	Leucine-rich repeat protein	Leucine-rich repeat protein		5	NC_051860.1	2883734	2886085	plus	1		
5741	Giardia intestinalis	5699181	0	live	GL50803_003095	GL50803_003095, GL50803_3095	Cyclin, N-terminal domain-containing protein	Cyclin, N-terminal domain-containing protein		3	NC_051858.1	478148	478648	plus	1		
5741	Giardia intestinalis	5699857	0	live	GL50803_007799	GL50803_007799, GL50803_7799	Alpha-4 giardin	Alpha-4 giardin		3	NC_051858.1	119229	120119	plus	1		
5741	Giardia intestinalis	5699854	0	live	GL50803_007797	GL50803_007797, GL50803_7797	Alpha-5 giardin	Alpha-5 giardin		3	NC_051858.1	121319	122227	plus	1		
5741	Giardia intestinalis	5697160	0	live	GL50803_00103437	GL50803_00103437, GL50803_103437	Alpha-9 giardin	Alpha-9 giardin		3	NC_051858.1	74313	75218	plus	1		
5741	Giardia intestinalis	5699738	0	live	GL50803_00103676	GL50803_00103676, GL50803_103676	Alpha-tubulin 1	Alpha-tubulin 1		5	NC_051860.1	2859487	2860851	minus	1		
5741	Giardia intestinalis	5698648	0	live	GL50803_003593	GL50803_003593, GL50803_3593	Alcohol dehydrogenase 3	Alcohol dehydrogenase 3		3	NC_051858.1	1737074	1738297	plus	1		
5741	Giardia intestinalis	5698604	0	live	GL50803_00112079	GL50803_00112079, GL50803_112079	Alpha-tubulin	Alpha-tubulin		3	NC_051858.1	1822795	1824159	minus	1		
5741	Giardia intestinalis	5700140	0	live	GL50803_00135231	GL50803_00135231, GL50803_135231	histone H3	histone H3		4	NC_051859.1	221117	221557	plus	1		
5741	Giardia intestinalis	5699815	0	live	GL50803_0027521	GL50803_0027521, GL50803_27521	Histone H2A	Histone H2A		3	NC_051858.1	244628	245002	minus	1		
5741	Giardia intestinalis	5699698	0	live	GL50803_00121045	GL50803_00121045, GL50803_121045	Histone H2B	Histone H2B		5	NC_051860.1	2978537	2978929	plus	1		
5741	Giardia intestinalis	5699688	0	live	GL50803_00121046	GL50803_00121046, GL50803_121046	Histone H2B	Histone H2B		5	NC_051860.1	2972263	2972655	plus	1		
5741	Giardia intestinalis	5697593	0	live	GL50803_00135003	GL50803_00135003, GL50803_135001	Histone H4	Histone H4		3	NC_051858.1	1942545	1942844	plus	1		
5741	Giardia intestinalis	5697592	0	live	GL50803_0014256	GL50803_0014256, GL50803_14256	Histone H2A	Histone H2A		3	NC_051858.1	1917110	1917484	plus	1		
5741	Giardia intestinalis	5696854	0	live	GL50803_00135002	GL50803_00135002, GL50803_135002	Histone H4	Histone H4		3	NC_051858.1	1946678	1946977	minus	1		
5741	Giardia intestinalis	5697097	0	live	GL50803_0014842	GL50803_0014842, GL50803_14842	Dimethyladenosine transferase	Dimethyladenosine transferase		5	NC_051860.1	947363	948313	plus	1		
5741	Giardia intestinalis	5702664	0	live	GL50803_009368	GL50803_009368, GL50803_9368	Pyruvate formate-lyase activating enzyme	Pyruvate formate-lyase activating enzyme		4	NC_051859.1	1012092	1013138	minus	1		
5741	Giardia intestinalis	5700573	0	live	GL50803_0010358	GL50803_0010358, GL50803_10358	A-type flavoprotein	A-type flavoprotein		4	NC_051859.1	1751137	1752381	minus	1		
5741	Giardia intestinalis	5697086	0	live	GL50803_008621	GL50803_008621, GL50803_8621	Leucyl-tRNA synthetase	Leucyl-tRNA synthetase		1	NC_051856.1	228480	232001	plus	1		
5741	Giardia intestinalis	5703232	0	live	GL50803_0028379	GL50803_0028379, GL50803_28379	Multidrug resistance-associated protein 1	Multidrug resistance-associated protein 1		3	NC_051858.1	1609183	1613694	minus	1		
5741	Giardia intestinalis	5703215	0	live	GL50803_0033689	GL50803_0033689, GL50803_33689	Dipeptidyl-peptidase III	Dipeptidyl-peptidase III		3	NC_051858.1	1570931	1573036	plus	1		
5741	Giardia intestinalis	5703167	0	live	GL50803_0093358	GL50803_0093358, GL50803_93358	Bifunctional acetaldehyde-CoA/alcohol dehydrogenase	Bifunctional acetaldehyde-CoA/alcohol dehydrogenase		3	NC_051858.1	1470428	1473094	plus	1		
5741	Giardia intestinalis	5703085	0	live	GL50803_005772	GL50803_005772, GL50803_5772	Glycylpeptide N-tetradecanoyltransferase	Glycylpeptide N-tetradecanoyltransferase		3	NC_051858.1	1342658	1343887	plus	1		
5741	Giardia intestinalis	5703018	0	live	GL50803_0014581	GL50803_0014581, GL50803_14581	Chaperone protein DnaK HSP70	Chaperone protein DnaK HSP70		3	NC_051858.1	1233524	1235446	minus	1		
5741	Giardia intestinalis	5703009	0	live	GL50803_00113793	GL50803_00113793, GL50803_113793	EamA-like transporter family protein	EamA-like transporter family protein		3	NC_051858.1	1220525	1221793	plus	1		
5741	Giardia intestinalis	5702996	0	live	GL50803_0015090	GL50803_0015090, GL50803_15090	L-serine dehydratase	L-serine dehydratase		3	NC_051858.1	1199814	1201364	plus	1		
5741	Giardia intestinalis	5702995	0	live	GL50803_00101501	GL50803_00101501, GL50803_101501	Seryl-tRNA synthetase	Seryl-tRNA synthetase		3	NC_051858.1	1198335	1199708	minus	1		
5741	Giardia intestinalis	5702946	0	live	GL50803_0015520	GL50803_0015520, GL50803_15520	Ribosomal protein L21	Ribosomal protein L21		3	NC_051858.1	1107751	1108230	plus	1		
5741	Giardia intestinalis	5702915	0	live	GL50803_0027614	GL50803_0027614, GL50803_27614	Ribose 5-phosphate isomerase	Ribose 5-phosphate isomerase		3	NC_051858.1	1055519	1055956	minus	1		
5741	Giardia intestinalis	5702893	0	live	GL50803_0010324	GL50803_0010324, GL50803_10324	Ribulose-phosphate 3-epimerase	Ribulose-phosphate 3-epimerase		3	NC_051858.1	1021416	1022141	minus	1		
5741	Giardia intestinalis	5702891	0	live	GL50803_0096994	GL50803_0096994, GL50803_96994	Qa-SNARE 3	Qa-SNARE 3		3	NC_051858.1	1020049	1020972	minus	1		
5741	Giardia intestinalis	5702850	0	live	GL50803_0011540	GL50803_0011540, GL50803_11540	Hexose transporter	Hexose transporter		3	NC_051858.1	952226	953764	minus	1		
5741	Giardia intestinalis	5702839	0	live	GL50803_006304	GL50803_006304, GL50803_6304	Fe-hydrogenase-1	Fe-hydrogenase-1		3	NC_051858.1	933443	934867	minus	1		
5741	Giardia intestinalis	5702823	0	live	GL50803_005845	GL50803_005845, GL50803_5845	Ribosomal protein S8	Ribosomal protein S8		3	NC_051858.1	913162	913686	minus	1		
5741	Giardia intestinalis	5702775	0	live	GL50803_0010623	GL50803_0010623, GL50803_10623	Phosphoenolpyruvate carboxykinase	Phosphoenolpyruvate carboxykinase		3	NC_051858.1	853512	855476	minus	1		
5741	Giardia intestinalis	5702755	0	live	GL50803_0091056	GL50803_0091056, GL50803_91056	Aspartate aminotransferase	Aspartate aminotransferase		3	NC_051858.1	825632	826915	plus	1		
5741	Giardia intestinalis	5702730	0	live	GL50803_0010367	GL50803_0010367, GL50803_10367	Ribosomal protein S24	Ribosomal protein S24		4	NC_051859.1	1139340	1139738	plus	1		
5741	Giardia intestinalis	5702669	0	live	GL50803_0020195	GL50803_0020195, GL50803_20195	5'-methylthioadenosine nucleosidase, S-adenosylhomocysteine nucleosidase	5'-methylthioadenosine nucleosidase, S-adenosylhomocysteine nucleosidase		4	NC_051859.1	1026171	1026968	minus	1		
5741	Giardia intestinalis	5702661	0	live	GL50803_00102101	GL50803_00102101, GL50803_102101	Kinesin-3	Kinesin-3		4	NC_051859.1	1004369	1007449	plus	1		
5741	Giardia intestinalis	5702658	0	live	GL50803_006262	GL50803_006262, GL50803_6262	Kinesin-3	Kinesin-3		4	NC_051859.1	999007	1002228	plus	1		
5741	Giardia intestinalis	5702563	0	live	GL50803_0017579	GL50803_0017579, GL50803_17579	Inositol-3-phosphate synthase	Inositol-3-phosphate synthase		4	NC_051859.1	801166	802815	plus	1		
5741	Giardia intestinalis	5702504	0	live	GL50803_003570	GL50803_003570, GL50803_3570	Ribosomal protein S28	Ribosomal protein S28		4	NC_051859.1	720282	720476	plus	1		
5741	Giardia intestinalis	5702502	0	live	GL50803_0016223	GL50803_0016223, GL50803_16223	DNA-directed RNA polymerase subunit A'	DNA-directed RNA polymerase subunit A'		4	NC_051859.1	712805	718030	plus	1		
5741	Giardia intestinalis	5702473	0	live	GL50803_0017139	GL50803_0017139, GL50803_17139	Kinase, CMGC CMGC-GL1	Kinase, CMGC CMGC-GL1		4	NC_051859.1	675242	677083	plus	1		
5741	Giardia intestinalis	5702441	0	live	GL50803_0017121	GL50803_0017121, GL50803_17121	Bip	Bip		4	NC_051859.1	536126	538114	plus	1		
5741	Giardia intestinalis	5702400	0	live	GL50803_0017132	GL50803_0017132, GL50803_17132	MRP-like ABC transporter	MRP-like ABC transporter		4	NC_051859.1	591767	596491	plus	1		
5741	Giardia intestinalis	5702322	0	live	GL50803_0016953	GL50803_0016953, GL50803_16953	Flap structure-specific endonuclease	Flap structure-specific endonuclease		5	NC_051860.1	1459632	1460717	plus	1		
5741	Giardia intestinalis	5702288	0	live	GL50803_0035428	GL50803_0035428, GL50803_35428	Valine-tRNA ligase	Valine-tRNA ligase		5	NC_051860.1	1509240	1512896	plus	1		
5741	Giardia intestinalis	5702239	0	live	GL50803_008146	GL50803_008146, GL50803_8146	Basal body protein, BBS5	Basal body protein, BBS5		5	NC_051860.1	1629798	1631129	minus	1		
5741	Giardia intestinalis	5702220	0	live	GL50803_008074	GL50803_008074, GL50803_8074	putative Manganese-dependent inorganic pyrophosphatase	putative Manganese-dependent inorganic pyrophosphatase		5	NC_051860.1	1673863	1675938	plus	1		
5741	Giardia intestinalis	5702134	0	live	GL50803_0017277	GL50803_0017277, GL50803_17277	Phospholipase B	Phospholipase B		5	NC_051860.1	1822265	1823971	minus	1		
5741	Giardia intestinalis	5702129	0	live	GL50803_004059	GL50803_004059, GL50803_4059	5'-methylthioadenosine nucleosidase, S-adenosylhomocysteine nucleosidase	5'-methylthioadenosine nucleosidase, S-adenosylhomocysteine nucleosidase		5	NC_051860.1	1828743	1829627	minus	1		
5741	Giardia intestinalis	5702107	0	live	GL50803_002101	GL50803_002101, GL50803_2101	Cytidine deaminase	Cytidine deaminase		1	NC_051856.1	1161225	1161629	plus	1		
5741	Giardia intestinalis	5702072	0	live	GL50803_0021750	GL50803_0021750, GL50803_21750	Ribose-phosphate pyrophosphokinase	Ribose-phosphate pyrophosphokinase		1	NC_051856.1	1209096	1210208	plus	1		
5741	Giardia intestinalis	5702065	0	live	GL50803_0010459	GL50803_0010459, GL50803_10459	rRNA-processing protein Fcf1	rRNA-processing protein Fcf1		1	NC_051856.1	1225909	1226481	plus	1		
5741	Giardia intestinalis	5702024	0	live	GL50803_005910	GL50803_005910, GL50803_5910	Helicase-related protein	Helicase-related protein		1	NC_051856.1	1297084	1298871	plus	1		
5741	Giardia intestinalis	5701940	0	live	GL50803_008227	GL50803_008227, GL50803_8227	ATP-binding cassette protein 5	ATP-binding cassette protein 5		1	NC_051856.1	1426300	1429497	minus	1		
5741	Giardia intestinalis	5701937	0	live	GL50803_004502	GL50803_004502, GL50803_4502	ER lumen protein retaining receptor	ER lumen protein retaining receptor		1	NC_051856.1	1433254	1433901	minus	1		
5741	Giardia intestinalis	5701887	0	live	GL50803_0015196	GL50803_0015196, GL50803_15196	Iron-sulfur cluster biosynthesis protein IscU	Iron-sulfur cluster biosynthesis protein IscU		5	NC_051860.1	2164988	2165473	plus	1		
5741	Giardia intestinalis	5701866	0	live	GL50803_0017063	GL50803_0017063, GL50803_17063	Pyruvate-flavodoxin oxidoreductase	Pyruvate-flavodoxin oxidoreductase		5	NC_051860.1	2199851	2203450	minus	1		
5741	Giardia intestinalis	5701804	0	live	GL50803_00137702	GL50803_00137702, GL50803_137702	Kinase	Kinase		5	NC_051860.1	2310589	2312115	minus	1		
5741	Giardia intestinalis	5701783	0	live	GL50803_0017538	GL50803_0017538, GL50803_17538	Phosphoprotein phosphatase 2A regulatory subunit	Phosphoprotein phosphatase 2A regulatory subunit		5	NC_051860.1	2346025	2348319	minus	1		
5741	Giardia intestinalis	5701756	0	live	GL50803_009237	GL50803_009237, GL50803_9237	putative WRKY transcription factor 4	putative WRKY transcription factor 4		5	NC_051860.1	2454458	2457205	plus	1		
5741	Giardia intestinalis	5701675	0	live	GL50803_003977	GL50803_003977, GL50803_3977	G2/mitotic-specific cyclin B	G2/mitotic-specific cyclin B		2	NC_051857.1	1035106	1036131	minus	1		
5741	Giardia intestinalis	5701645	0	live	GL50803_008003	GL50803_008003, GL50803_8003	Bet3-like protein	Bet3-like protein		2	NC_051857.1	1098882	1099382	minus	1		
5741	Giardia intestinalis	5701643	0	live	GL50803_008001	GL50803_008001, GL50803_8001	Ribosomal protein L15	Ribosomal protein L15		2	NC_051857.1	1100256	1100870	plus	1		
5741	Giardia intestinalis	5701641	0	live	GL50803_0014606	GL50803_0014606, GL50803_14606	Translation initiation factor 6	Translation initiation factor 6		2	NC_051857.1	1100906	1101646	minus	1		
5741	Giardia intestinalis	5701640	0	live	GL50803_007999	GL50803_007999, GL50803_7999	Ribosomal protein S3	Ribosomal protein S3		2	NC_051857.1	1101772	1102425	plus	1		
5741	Giardia intestinalis	5701621	0	live	GL50803_0015097	GL50803_0015097, GL50803_15097	Alpha-14 giardin	Alpha-14 giardin		2	NC_051857.1	1121147	1122139	minus	1		
5741	Giardia intestinalis	5701555	0	live	GL50803_0015404	GL50803_0015404, GL50803_15404	putative Glycosaminoglycan polysaccharide lyase	putative Glycosaminoglycan polysaccharide lyase		2	NC_051857.1	1217031	1220201	plus	1		
5741	Giardia intestinalis	5701541	0	live	GL50803_0014938	GL50803_0014938, GL50803_14938	Ribosomal protein L12	Ribosomal protein L12		2	NC_051857.1	1268893	1269441	plus	1		
5741	Giardia intestinalis	5701539	0	live	GL50803_009376	GL50803_009376, GL50803_9376	Sec23	Sec23		2	NC_051857.1	1269520	1272105	plus	1		
5741	Giardia intestinalis	5701490	0	live	GL50803_0017451	GL50803_0017451, GL50803_17451	Deoxynucleoside kinase	Deoxynucleoside kinase		5	NC_051860.1	3768212	3768967	plus	1		
5741	Giardia intestinalis	5701369	0	live	GL50803_004964	GL50803_004964, GL50803_4964	Mevalonate kinase	Mevalonate kinase		5	NC_051860.1	3964448	3965473	plus	1		
